"","Country","Population","Region","Means"
"1","Albania",3581655,"East",0.501828161586488
"2","Austria",8192880,"West",0.826004408786447
"3","Belarus",10293011,"East",0.52652248339093
"4","Belgium",10379067,"West",0.770866301776564
"5","Bulgaria",7385367,"West",0.540795574562371
"6","Croatia",4494749,"West",0.59425996521904
"7","Czech Republic",10235455,"West",0.713861528366047
"8","Denmark",5450661,"West",0.878646053815042
"9","Estonia",1324333,"West",0.775766283570811
"10","Finland",5231372,"West",0.851590655838916
"11","France",60876136,"West",0.733328107163999
"12","Georgia",4661473,"East",0.636000607279993
"13","Germany",82422299,"West",0.81258325547998
"14","Greece",10688058,"West",0.59826530795343
"15","Hungary",9981334,"West",0.584702066957571
"16","Italy",58133509,"West",0.63806497286877
"17","Kazakhstan",15233244,"East",0.487540258373072
"18","Kyrgyzstan",5213898,"East",0.464589346305496
"19","Moldova",4466706,"East",0.475015826972372
"20","Netherlands",16491461,"West",0.839864023503813
"21","Norway",4610820,"West",0.8736992245216
"22","Poland",38536869,"West",0.699418795874359
"23","Portugal",10605870,"West",0.690593127630446
"24","Romania",22303552,"West",0.623970787075191
"25","Russia",142893540,"East",0.456563604405475
"26","Serbia",9396411,"East",0.503486139006456
"27","Slovenia",2010347,"West",0.659983670778855
"28","Spain",40397842,"West",0.68403673331599
"29","Sweden",9016596,"West",0.854498716210945
"30","Turkey",70413958,"East",0.465414167374411
"31","Ukraine",46710816,"East",0.48074486259861
"32","United Kingdom",60609153,"West",0.791395727065379
"33","Uzbekistan",27307134,"East",0.453976705641841
