"","Country","X","Population","Region","ROL2016","ROL2012","happy2012","happy2016"
"1","Austria",2,8192880,"West",0.826004408786447,0.815017220919044,7.2,7.006
"2","Belgium",4,10379067,"West",0.770866301776564,0.750844608242555,6.937,6.891
"3","Bulgaria",5,7385367,"West",0.540795574562371,0.540259633990071,4.218,4.714
"4","Croatia",6,4494749,"West",0.59425996521904,0.577579343220949,5.759,5.293
"5","Czech Republic",7,10235455,"West",0.713861528366047,0.671808708012989,6.505,6.609
"6","Denmark",8,5450661,"West",0.878646053815042,0.877178696192598,7.527,7.522
"7","Estonia",9,1324333,"West",0.775766283570811,0.761920015114492,5.429,5.611
"8","Finland",10,5231372,"West",0.851590655838916,0.853360026641534,7.406,7.469
"9","France",11,60876136,"West",0.733328107163999,0.753019715268873,6.575,6.442
"10","Germany",13,82422299,"West",0.81258325547998,0.793114170468427,6.75,6.951
"11","Greece",14,10688058,"West",0.59826530795343,0.598523302255498,4.857,5.227
"12","Hungary",15,9981334,"West",0.584702066957571,0.629336317029808,4.8,5.324
"13","Italy",16,58133509,"West",0.63806497286877,0.63156755924593,5.948,5.964
"14","Netherlands",20,16491461,"West",0.839864023503813,0.83982250687911,7.378,7.377
"15","Norway",21,4610820,"West",0.8736992245216,0.87220607057429,7.522,7.537
"16","Poland",22,38536869,"West",0.699418795874359,0.695240154367133,5.791,5.973
"17","Portugal",23,10605870,"West",0.690593127630446,0.663419496449469,5.102,5.195
"18","Romania",24,22303552,"West",0.623970787075191,0.599460025073416,5.124,5.825
"19","Slovenia",27,2010347,"West",0.659983670778855,0.652938490118966,5.848,5.758
"20","Spain",28,40397842,"West",0.68403673331599,0.698882173766619,6.329,6.403
"21","Sweden",29,9016596,"West",0.854498716210945,0.871417925213198,7.364,7.284
"22","United Kingdom",32,60609153,"West",0.791395727065379,0.780870846611218,6.867,6.714
